id,surface,file,line,component,element,label,disabled,handler,coverage
"UI035","desktop","src/renderer/src/App.tsx","1055","CrewRunRow","summary","{content}","","","Source control site; consult the journey register and release verification scope"
"UI036","desktop","src/renderer/src/App.tsx","1057","CrewRunRow","button","{`Watch ${run.name}'s computer`}","","onClick: {() => onWatchComputer(computer.id)}","Source control site; consult the journey register and release verification scope"
"UI037","desktop","src/renderer/src/App.tsx","1120","CrewPicker","button","","{conversation.status === ""running""}","onClick: {() => setOpen((value) => !value)}","Source control site; consult the journey register and release verification scope"
"UI038","desktop","src/renderer/src/App.tsx","1133","CrewPicker","button","{checked ? <CheckCircle size={17} weight=""fill"" /> : <Plus size={15} />}","{!enabled}","onClick: {() => void toggle(agent)}","Source control site; consult the journey register and release verification scope"
"UI039","desktop","src/renderer/src/App.tsx","1141","CrewPicker","button","Create or edit agents","","onClick: {() => { setOpen(false); onOpenAgents(); }}","Source control site; consult the journey register and release verification scope"
"UI040","desktop","src/renderer/src/App.tsx","1227","ProjectPicker","button","","{conversation.status === ""running""}","onClick: {() => setOpen((value) => !value)}","Source control site; consult the journey register and release verification scope"
"UI041","desktop","src/renderer/src/App.tsx","1234","ProjectPicker","input","""Search projects""","","onChange: {(event) => setSearch(event.target.value)}","Source control site; consult the journey register and release verification scope"
"UI042","desktop","src/renderer/src/App.tsx","1239","ProjectPicker","button","{pathname}","","onClick: {() => void selectProject(pathname)}","Source control site; consult the journey register and release verification scope"
"UI043","desktop","src/renderer/src/App.tsx","1247","ProjectPicker","button","Choose or create project","","onClick: {() => void chooseProject()}","Source control site; consult the journey register and release verification scope"
"UI044","desktop","src/renderer/src/App.tsx","1248","ProjectPicker","button","Don't work in a project","","onClick: {() => void clearProject()}","Source control site; consult the journey register and release verification scope"
"UI045","desktop","src/renderer/src/App.tsx","1305","AccessPicker","button","","{conversation.status === ""running""}","onClick: {() => setOpen((current) => !current)}","Source control site; consult the journey register and release verification scope"
"UI046","desktop","src/renderer/src/App.tsx","1311","AccessPicker","button","{choice.id === value && <CheckCircle size={17} weight=""fill"" />}","","onClick: {() => void select(choice.id)}","Source control site; consult the journey register and release verification scope"
"UI047","desktop","src/renderer/src/App.tsx","1484","Composer","div","{conversation.queuedMessages.length > 0 && ( <section className=""followup-queue"" aria-label={`${conversation.queuedMessages.length} queued follow-ups`}> <header><span><ClockCounterClockwise size={13} /><strong>Up next</strong></span><small>","","onDrop: {handleDrop}","Source control site; consult the journey register and release verification scope"
"UI048","desktop","src/renderer/src/App.tsx","1518","Composer","input","{draftImages.length > 0 && ( <div className=""composer-image-previews"" aria-label={`${draftImages.length} images ready to send`}> {draftImages.map((image) => ( <DraftImagePreview key={image.id} image={image} onRemove={() => removeDraftImage(","","onChange: {(event) => { addImageFiles(Array.from(event.target.files ?? [])); event.target.value = """"; }}","Source control site; consult the journey register and release verification scope"
